날짜,종가,전일비,시가,고가,저가,거래량,종목코드,종목명
2021.06.10,121000.0,2000.0,118000.0,122000.0,117500.0,721843.0,352820,하이브
2021.06.09,119000.0,1000.0,120500.0,121000.0,116500.0,562473.0,352820,하이브
2021.06.08,120000.0,6000.0,114500.0,120500.0,114000.0,1184944.0,352820,하이브
2021.06.07,114000.0,500.0,114000.0,114500.0,112500.0,194269.0,352820,하이브
2021.06.04,113500.0,500.0,112500.0,113500.0,111500.0,201488.0,352820,하이브
2021.06.03,113000.0,500.0,113000.0,114000.0,112000.0,220038.0,352820,하이브
2021.06.02,112500.0,500.0,112000.0,113500.0,111500.0,201131.0,352820,하이브
2021.06.01,112000.0,1500.0,113500.0,115000.0,112000.0,221321.0,352820,하이브
2021.05.31,113500.0,500.0,112500.0,113500.0,111000.0,195806.0,352820,하이브
2021.05.28,113000.0,1000.0,113500.0,113500.0,111500.0,230342.0,352820,하이브
2021.05.27,114000.0,3500.0,110500.0,114000.0,108000.0,418439.0,352820,하이브
2021.05.26,110500.0,2000.0,113000.0,113000.0,110500.0,186569.0,352820,하이브
2021.05.25,112500.0,1500.0,111500.0,113500.0,110500.0,186693.0,352820,하이브
2021.05.24,111000.0,1500.0,113000.0,113500.0,109000.0,260775.0,352820,하이브
2021.05.21,112500.0,500.0,114500.0,114500.0,111500.0,185480.0,352820,하이브
2021.05.20,113000.0,0.0,113000.0,114000.0,111500.0,198742.0,352820,하이브
2021.05.18,113000.0,2000.0,112000.0,113000.0,110500.0,223112.0,352820,하이브
2021.05.17,111000.0,500.0,111500.0,114000.0,110000.0,352455.0,352820,하이브
2021.05.14,110500.0,2500.0,108500.0,112000.0,108500.0,225513.0,352820,하이브
2021.05.13,108000.0,500.0,106500.0,109000.0,105000.0,303192.0,352820,하이브
2021.05.12,107500.0,1000.0,108000.0,114500.0,107000.0,860584.0,352820,하이브
2021.05.11,106500.0,3000.0,109000.0,109000.0,106000.0,210598.0,352820,하이브
2021.05.10,109500.0,1500.0,108500.0,110000.0,107500.0,212041.0,352820,하이브
2021.05.07,108000.0,2000.0,106500.0,108500.0,106000.0,174741.0,352820,하이브
2021.05.06,106000.0,1500.0,104000.0,107500.0,103500.0,264179.0,352820,하이브
2021.05.04,104500.0,500.0,103500.0,105500.0,102500.0,445119.0,352820,하이브
2021.05.03,105000.0,4000.0,109000.0,109500.0,104500.0,390931.0,352820,하이브
2021.04.30,109000.0,2500.0,111500.0,111500.0,108500.0,264892.0,352820,하이브
2021.04.29,111500.0,3500.0,115000.0,115000.0,111000.0,315054.0,352820,하이브
2021.04.28,115000.0,500.0,114500.0,115500.0,112000.0,305629.0,352820,하이브
2021.04.27,114500.0,3000.0,118000.0,118500.0,114000.0,334035.0,352820,하이브
2021.04.26,117500.0,1000.0,119500.0,120000.0,117000.0,338233.0,352820,하이브
2021.04.23,118500.0,1000.0,116000.0,119000.0,115500.0,283501.0,352820,하이브
2021.04.22,117500.0,2500.0,120500.0,121000.0,117000.0,383676.0,352820,하이브
2021.04.21,120000.0,1000.0,118500.0,121000.0,117500.0,654108.0,352820,하이브
2021.04.20,119000.0,5500.0,114500.0,119500.0,114000.0,727766.0,352820,하이브
2021.04.19,113500.0,2000.0,111000.0,115500.0,110500.0,622540.0,352820,하이브
2021.04.16,111500.0,500.0,112500.0,113500.0,111000.0,242747.0,352820,하이브
